Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
Vulpes macrotis mutica,San Joaquin kit fox,wherever found,8,Endangered,Mammals
Dipodomys heermanni morroensis,Morro Bay kangaroo rat,Wherever found,8,Endangered,Mammals
Reithrodontomys raviventris,Salt marsh harvest mouse,wherever found,8,Endangered,Mammals
Microtus californicus scirpensis,Amargosa vole,Wherever found,8,Endangered,Mammals
Dipodomys nitratoides exilis,Fresno kangaroo rat,Wherever found,8,Endangered,Mammals
Dipodomys ingens,Giant kangaroo rat,Wherever found,8,Endangered,Mammals
Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,Wherever found,8,Endangered,Mammals
Dipodomys nitratoides nitratoides,Tipton kangaroo rat,Wherever found,8,Endangered,Mammals
Enhydra lutris nereis,Southern sea otter,Wherever found,8,Threatened,Mammals
Aplodontia rufa nigra,Point Arena mountain beaver,Wherever found,8,Endangered,Mammals
Perognathus longimembris pacificus,Pacific pocket mouse,Wherever found,8,Endangered,Mammals
Sylvilagus bachmani riparius,Riparian brush rabbit,Wherever found,8,Endangered,Mammals
Ovis canadensis nelsoni,Peninsular bighorn sheep,Peninsular CA pop.,8,Endangered,Mammals
Ovis canadensis sierrae,Sierra Nevada bighorn sheep,Sierra Nevada,8,Endangered,Mammals
Sorex ornatus relictus,Buena Vista Lake ornate Shrew,Wherever found,8,Endangered,Mammals
Neotoma fuscipes riparia,Riparian woodrat (=San Joaquin Valley),Wherever found,8,Endangered,Mammals
Dipodomys merriami parvus,San Bernardino Merriam's kangaroo rat,Wherever found,8,Endangered,Mammals
Gymnogyps californianus,California condor,"U.S.A. only, except where listed as an experimental population",8,Endangered,Birds
Rallus obsoletus [=longirostris] yumanensis,Yuma Ridgways (clapper) rail,Wherever found,2,Endangered,Birds
Phoebastria (=Diomedea) albatrus,Short-tailed albatross,Wherever found,7,Endangered,Birds
Sterna antillarum browni,California least tern,Wherever found,8,Endangered,Birds
Rallus longirostris obsoletus,California clapper rail,Wherever found,8,Endangered,Birds
Rallus longirostris levipes,Light-footed clapper rail,Wherever found,8,Endangered,Birds
Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,Wherever found,8,Endangered,Birds
Amphispiza belli clementeae,San Clemente sage sparrow,Wherever found,8,Threatened,Birds
Vireo bellii pusillus,Least Bell's vireo,Wherever found,8,Endangered,Birds
Charadrius nivosus nivosus,Western snowy plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",8,Threatened,Birds
Pipilo crissalis eremophilus,Inyo California towhee,Wherever found,8,Threatened,Birds
Strix occidentalis caurina,Northern spotted owl,Wherever found,1,Threatened,Birds
Brachyramphus marmoratus,Marbled murrelet,"U.S.A. (CA, OR, WA)",1,Threatened,Birds
Polioptila californica californica,Coastal California gnatcatcher,Wherever found,8,Threatened,Birds
Empidonax traillii extimus,Southwestern willow flycatcher,Wherever found,2,Endangered,Birds
Gambelia silus,Blunt-nosed leopard lizard,Wherever found,8,Endangered,Reptiles
Thamnophis sirtalis tetrataenia,San Francisco garter snake,Wherever found,8,Endangered,Reptiles
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles
Lepidochelys olivacea,Olive ridley sea turtle,"Wherever found, except when listed as endangered under 50 CFR 224.101",4,Threatened,Reptiles
Uma inornata,Coachella Valley fringe-toed lizard,Wherever found,8,Threatened,Reptiles
Masticophis lateralis euryxanthus,Alameda whipsnake (=striped racer),Wherever found,8,Threatened,Reptiles
Gopherus agassizii,Desert tortoise,"Wherever found, except AZ south and east of Colorado R., and Mexico",8,Threatened,Reptiles
Thamnophis gigas,Giant garter snake,Wherever found,8,Threatened,Reptiles
Ambystoma macrodactylum croceum,Santa Cruz long-toed salamander,Wherever found,8,Endangered,Amphibians
Batrachoseps aridus,Desert slender salamander,Wherever found,8,Endangered,Amphibians
Ambystoma californiense,California tiger Salamander,U.S.A. (CA - Sonoma County),8,Endangered,Amphibians
Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,Wherever found,8,Endangered,Amphibians
Rana draytonii,California red-legged frog,Wherever found,8,Threatened,Amphibians
Rana muscosa,Mountain yellow-legged frog,Southern California DPS,8,Endangered,Amphibians
Chasmistes cujus,Cui-ui,Wherever found,8,Endangered,Fishes
Ptychocheilus lucius,Colorado pikeminnow (=squawfish),"Wherever found, except where listed as an experimental population",6,Endangered,Fishes
Cyprinodon radiosus,Owens pupfish,Wherever found,8,Endangered,Fishes
Oncorhynchus clarkii seleniris,Paiute cutthroat trout,Wherever found,8,Threatened,Fishes
Gila bicolor ssp. mohavensis,Mohave tui chub,Wherever found,8,Endangered,Fishes
Gasterosteus aculeatus williamsoni,Unarmored threespine stickleback,Wherever found,8,Endangered,Fishes
Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Wherever found,8,Threatened,Fishes
Oncorhynchus aguabonita whitei,Little Kern golden trout,Wherever found,8,Threatened,Fishes
Gila elegans,Bonytail,Wherever found,6,Endangered,Fishes
Gila bicolor ssp. snyderi,Owens Tui Chub,Wherever found,8,Endangered,Fishes
Cyprinodon macularius,Desert pupfish,Wherever found,2,Endangered,Fishes
Deltistes luxatus,Lost River sucker,Wherever found,8,Endangered,Fishes
Xyrauchen texanus,Razorback sucker,Wherever found,6,Endangered,Fishes
Chasmistes brevirostris,Shortnose Sucker,Wherever found,8,Endangered,Fishes
Catostomus warnerensis,Warner sucker,Wherever found,1,Threatened,Fishes
Hypomesus transpacificus,Delta smelt,Wherever found,8,Threatened,Fishes
Eucyclogobius newberryi,Tidewater goby,Wherever found,8,Endangered,Fishes
Catostomus santaanae,Santa Ana sucker,3 CA river basins,8,Threatened,Fishes
Helminthoglypta walkeriana,Morro shoulderband (=Banded dune) snail,Wherever found,8,Endangered,Snails
Euphilotes battoides allyni,El Segundo blue butterfly,Wherever found,8,Endangered,Insects
Apodemia mormo langei,Lange's metalmark butterfly,Wherever found,8,Endangered,Insects
Lycaeides argyrognomon lotis,Lotis blue butterfly,Wherever found,8,Endangered,Insects
Icaricia icarioides missionensis,Mission blue butterfly,Wherever found,8,Endangered,Insects
Speyeria zerene myrtleae,Myrtle's silverspot butterfly,Wherever found,8,Endangered,Insects
Euphydryas editha quino (=E. e. wrighti),Quino checkerspot butterfly,Wherever found,8,Endangered,Insects
Callophrys mossii bayensis,San Bruno elfin butterfly,Wherever found,8,Endangered,Insects
Euphilotes enoptes smithi,Smith's blue butterfly,Wherever found,8,Endangered,Insects
Speyeria callippe callippe,Callippe silverspot butterfly,Wherever found,8,Endangered,Insects
Speyeria zerene hippolyta,Oregon silverspot butterfly,Wherever found,1,Threatened,Insects
Glaucopsyche lygdamus palosverdesensis,Palos Verdes blue butterfly,Wherever found,8,Endangered,Insects
Euproserpinus euterpe,Kern primrose sphinx moth,Wherever found,8,Threatened,Insects
Elaphrus viridis,Delta green ground beetle,Wherever found,8,Threatened,Insects
Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,Wherever found,8,Threatened,Insects
Euphydryas editha bayensis,Bay checkerspot butterfly,Wherever found,8,Threatened,Insects
Speyeria zerene behrensii,Behren's silverspot butterfly,Wherever found,8,Endangered,Insects
Pyrgus ruralis lagunae,Laguna Mountains skipper,Wherever found,8,Endangered,Insects
Rhaphiomidas terminatus abdominalis,Delhi Sands flower-loving fly,Wherever found,8,Endangered,Insects
Polyphylla barbata,Mount Hermon June beetle,Wherever found,8,Endangered,Insects
Cicindela ohlone,Ohlone tiger beetle,Wherever found,8,Endangered,Insects
Trimerotropis infantilis,Zayante band-winged grasshopper,Wherever found,8,Endangered,Insects
Pseudocopaeodes eunus obscurus,Carson wandering skipper,Wherever found,8,Endangered,Insects
Pacifastacus fortis,Shasta crayfish,Wherever found,8,Endangered,Crustaceans
Syncaris pacifica,California freshwater shrimp,Wherever found,8,Endangered,Crustaceans
Branchinecta conservatio,Conservancy fairy shrimp,Wherever found,8,Endangered,Crustaceans
Branchinecta longiantenna,Longhorn fairy shrimp,Wherever found,8,Endangered,Crustaceans
Streptocephalus woottoni,Riverside fairy shrimp,Wherever found,8,Endangered,Crustaceans
Branchinecta lynchi,Vernal pool fairy shrimp,Wherever found,8,Threatened,Crustaceans
Lepidurus packardi,Vernal pool tadpole shrimp,Wherever found,8,Endangered,Crustaceans
Branchinecta sandiegonensis,San Diego fairy shrimp,Wherever found,8,Endangered,Crustaceans
Acanthomintha ilicifolia,San Diego thornmint,Wherever found,8,Threatened,Flowering Plants
Alopecurus aequalis var. sonomensis,Sonoma alopecurus,Wherever found,8,Endangered,Flowering Plants
Ambrosia pumila,San Diego ambrosia,Wherever found,8,Endangered,Flowering Plants
Arabis hoffmannii,Hoffmann's rock-cress,Wherever found,8,Endangered,Flowering Plants
Arctostaphylos glandulosa ssp. crassifolia,Del Mar manzanita,Wherever found,8,Endangered,Flowering Plants
Arctostaphylos confertiflora,Santa Rosa Island manzanita,Wherever found,8,Endangered,Flowering Plants
Arctostaphylos myrtifolia,Ione manzanita,Wherever found,8,Threatened,Flowering Plants
Arctostaphylos pallida,Pallid manzanita,Wherever found,8,Threatened,Flowering Plants
Arenaria ursina,Bear Valley sandwort,Wherever found,8,Threatened,Flowering Plants
Astragalus brauntonii,Braunton's milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus clarianus,Clara Hunt's milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus jaegerianus,Lane Mountain milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus pycnostachyus var. lanosissimus,Ventura Marsh Milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus tener var. titi,Coastal dunes milk-vetch,Wherever found,8,Endangered,Flowering Plants
Berberis nevinii,Nevin's barberry,Wherever found,8,Endangered,Flowering Plants
Berberis pinnata ssp. insularis,Island Barberry,Wherever found,8,Endangered,Flowering Plants
Brodiaea filifolia,Thread-leaved brodiaea,Wherever found,8,Threatened,Flowering Plants
Brodiaea pallida,Chinese Camp brodiaea,Wherever found,8,Threatened,Flowering Plants
Calyptridium pulchellum,Mariposa pussypaws,Wherever found,8,Threatened,Flowering Plants
Calystegia stebbinsii,Stebbins' morning-glory,Wherever found,8,Endangered,Flowering Plants
Carex albida,White sedge,Wherever found,8,Endangered,Flowering Plants
Castilleja campestris ssp. succulenta,Fleshy owl's-clover,Wherever found,8,Threatened,Flowering Plants
Castilleja cinerea,Ash-grey paintbrush,Wherever found,8,Threatened,Flowering Plants
Castilleja mollis,Soft-leaved paintbrush,Wherever found,8,Endangered,Flowering Plants
Ceanothus roderickii,Pine Hill ceanothus,Wherever found,8,Endangered,Flowering Plants
Cercocarpus traskiae,Catalina Island mountain-mahogany,Wherever found,8,Endangered,Flowering Plants
Chamaesyce hooveri,Hoover's spurge,Wherever found,8,Threatened,Flowering Plants
Chlorogalum purpureum,Purple amole,Wherever found,8,Threatened,Flowering Plants
Chorizanthe orcuttiana,Orcutt's spineflower,Wherever found,8,Endangered,Flowering Plants
Cirsium hydrophilum var. hydrophilum,Suisun thistle,Wherever found,8,Endangered,Flowering Plants
Cirsium loncholepis,La Graciosa thistle,Wherever found,8,Endangered,Flowering Plants
Clarkia imbricata,Vine Hill clarkia,Wherever found,8,Endangered,Flowering Plants
Cordylanthus mollis ssp. mollis,Soft bird's-beak,Wherever found,8,Endangered,Flowering Plants
Delphinium bakeri,Baker's larkspur,Wherever found,8,Endangered,Flowering Plants
Delphinium luteum,Yellow larkspur,Wherever found,8,Endangered,Flowering Plants
Dudleya abramsii ssp. parva,Conejo dudleya,Wherever found,8,Threatened,Flowering Plants
Dudleya cymosa ssp. marcescens,Marcescent dudleya,Wherever found,8,Threatened,Flowering Plants
Dudleya nesiotica,Santa Cruz Island dudleya,Wherever found,8,Threatened,Flowering Plants
Dudleya stolonifera,Laguna Beach liveforever,Wherever found,8,Threatened,Flowering Plants
Eriodictyon capitatum,Lompoc yerba santa,Wherever found,8,Endangered,Flowering Plants
Eriogonum apricum (incl. var. prostratum),Ione (incl. Irish Hill) buckwheat,Wherever found,8,Endangered,Flowering Plants
Eriogonum kennedyi var. austromontanum,Southern mountain wild-buckwheat,Wherever found,8,Threatened,Flowering Plants
Fremontodendron californicum ssp. decumbens,Pine Hill flannelbush,Wherever found,8,Endangered,Flowering Plants
Fritillaria gentneri,Gentner's Fritillary,Wherever found,1,Endangered,Flowering Plants
Galium buxifolium,Island bedstraw,Wherever found,8,Endangered,Flowering Plants
Galium californicum ssp. sierrae,El Dorado bedstraw,Wherever found,8,Endangered,Flowering Plants
Gilia tenuiflora ssp. hoffmannii,Hoffmann's slender-flowered gilia,Wherever found,8,Endangered,Flowering Plants
Helianthemum greenei,Island rush-rose,Wherever found,8,Threatened,Flowering Plants
Deinandra (=Hemizonia) conjugens,Otay tarplant,Wherever found,8,Threatened,Flowering Plants
Holocarpha macradenia,Santa Cruz tarplant,Wherever found,8,Threatened,Flowering Plants
Lasthenia conjugens,Contra Costa goldfields,Wherever found,8,Endangered,Flowering Plants
Lilium pardalinum ssp. pitkinense,Pitkin Marsh lily,Wherever found,8,Endangered,Flowering Plants
Lithophragma maximum,San Clemente Island woodland-star,Wherever found,8,Endangered,Flowering Plants
Lupinus nipomensis,Nipomo Mesa lupine,Wherever found,8,Endangered,Flowering Plants
Malacothamnus fasciculatus var. nesioticus,Santa Cruz Island bush-mallow,Wherever found,8,Endangered,Flowering Plants
Monardella viminea,Willowy monardella,Wherever found,8,Endangered,Flowering Plants
Navarretia leucocephala ssp. pauciflora (=N. pauciflora),Few-flowered navarretia,Wherever found,8,Endangered,Flowering Plants
Navarretia leucocephala ssp. plieantha,Many-flowered navarretia,Wherever found,8,Endangered,Flowering Plants
Neostapfia colusana,Colusa grass,Wherever found,8,Threatened,Flowering Plants
Orcuttia pilosa,Hairy Orcutt grass,Wherever found,8,Endangered,Flowering Plants
Orcuttia tenuis,Slender Orcutt grass,Wherever found,8,Threatened,Flowering Plants
Parvisedum leiocarpum,Lake County stonecrop,Wherever found,8,Endangered,Flowering Plants
Pentachaeta lyonii,Lyon's pentachaeta,Wherever found,8,Endangered,Flowering Plants
Phacelia insularis ssp. insularis,Island phacelia,Wherever found,8,Endangered,Flowering Plants
Phlox hirsuta,Yreka phlox,Wherever found,8,Endangered,Flowering Plants
Plagiobothrys strictus,Calistoga allocarya,Wherever found,8,Endangered,Flowering Plants
Poa atropurpurea,San Bernardino bluegrass,Wherever found,8,Endangered,Flowering Plants
Poa napensis,Napa bluegrass,Wherever found,8,Endangered,Flowering Plants
Potentilla hickmanii,Hickman's potentilla,Wherever found,8,Endangered,Flowering Plants
Pseudobahia bahiifolia,Hartweg's golden sunburst,Wherever found,8,Endangered,Flowering Plants
Pseudobahia peirsonii,San Joaquin adobe sunburst,Wherever found,8,Threatened,Flowering Plants
Senecio layneae,Layne's butterweed,Wherever found,8,Threatened,Flowering Plants
Sibara filifolia,Santa Cruz Island rockcress,Wherever found,8,Endangered,Flowering Plants
Sidalcea keckii,Keck's Checker-mallow,Wherever found,8,Endangered,Flowering Plants
Sidalcea oregana ssp. valida,Kenwood Marsh checker-mallow,Wherever found,8,Endangered,Flowering Plants
Taraxacum californicum,California taraxacum,Wherever found,8,Endangered,Flowering Plants
Amsinckia grandiflora,Large-flowered fiddleneck,Wherever found,8,Endangered,Flowering Plants
Arabis macdonaldiana,McDonald's rock-cress,Wherever found,8,Endangered,Flowering Plants
Arctostaphylos hookeri var. ravenii,Presidio Manzanita,Wherever found,8,Endangered,Flowering Plants
Blennosperma bakeri,Sonoma sunshine,Wherever found,8,Endangered,Flowering Plants
Calochortus tiburonensis,Tiburon mariposa lily,Wherever found,8,Threatened,Flowering Plants
Castilleja grisea,San Clemente Island Paintbrush,Wherever found,8,Threatened,Flowering Plants
Ceanothus ferrisae,Coyote ceanothus,Wherever found,8,Endangered,Flowering Plants
Chorizanthe valida,Sonoma spineflower,Wherever found,8,Endangered,Flowering Plants
Cirsium fontinale var. obispoense,Chorro Creek bog thistle,Wherever found,8,Endangered,Flowering Plants
Cirsium fontinale var. fontinale,Fountain thistle,Wherever found,8,Endangered,Flowering Plants
Clarkia franciscana,Presidio clarkia,Wherever found,8,Endangered,Flowering Plants
Clarkia speciosa ssp. immaculata,Pismo clarkia,Wherever found,8,Endangered,Flowering Plants
Cordylanthus maritimus ssp. maritimus,Salt marsh bird's-beak,Wherever found,8,Endangered,Flowering Plants
Cordylanthus palmatus,Palmate-bracted bird's beak,Wherever found,8,Endangered,Flowering Plants
Delphinium variegatum ssp. kinkiense,San Clemente Island larkspur,Wherever found,8,Endangered,Flowering Plants
Dudleya traskiae,Santa Barbara Island liveforever,Wherever found,8,Endangered,Flowering Plants
Eriodictyon altissimum,Indian Knob mountainbalm,Wherever found,8,Endangered,Flowering Plants
Eriogonum ovalifolium var. vineum,Cushenbury buckwheat,Wherever found,8,Endangered,Flowering Plants
Eryngium aristulatum var. parishii,San Diego button-celery,Wherever found,8,Endangered,Flowering Plants
Erysimum capitatum var. angustatum,Contra Costa wallflower,Wherever found,8,Endangered,Flowering Plants
Hesperolinon congestum,Marin dwarf-flax,Wherever found,8,Threatened,Flowering Plants
Lasthenia burkei,Burke's goldfields,Wherever found,8,Endangered,Flowering Plants
Lilium occidentale,Western lily,Wherever found,8,Endangered,Flowering Plants
Limnanthes vinculans,Sebastopol meadowfoam,Wherever found,8,Endangered,Flowering Plants
Acmispon dendroideus var. traskiae (=Lotus d. ssp. traskiae),San Clemente Island lotus (=broom),Wherever found,8,Threatened,Flowering Plants
Malacothamnus clementinus,San Clemente Island bush-mallow,Wherever found,8,Endangered,Flowering Plants
Oenothera deltoides ssp. howellii,Antioch Dunes evening-primrose,Wherever found,8,Endangered,Flowering Plants
Orcuttia californica,California Orcutt grass,Wherever found,8,Endangered,Flowering Plants
Orcuttia inaequalis,San Joaquin Orcutt grass,Wherever found,8,Threatened,Flowering Plants
Orcuttia viscida,Sacramento Orcutt grass,Wherever found,8,Endangered,Flowering Plants
Pogogyne abramsii,San Diego mesa-mint,Wherever found,8,Endangered,Flowering Plants
Streptanthus albidus ssp. albidus,Metcalf Canyon jewelflower,Wherever found,8,Endangered,Flowering Plants
Streptanthus niger,Tiburon jewelflower,Wherever found,8,Endangered,Flowering Plants
Swallenia alexandrae,Eureka Dune grass,,8,Threatened,Flowering Plants
Trifolium amoenum,Showy Indian clover,Wherever found,8,Endangered,Flowering Plants
Trifolium trichocalyx,Monterey clover,Wherever found,8,Endangered,Flowering Plants
Tuctoria greenei,Greene's tuctoria,Wherever found,8,Endangered,Flowering Plants
Tuctoria mucronata,Solano grass,Wherever found,8,Endangered,Flowering Plants
Acanthomintha obovata ssp. duttonii,San Mateo thornmint,Wherever found,8,Endangered,Flowering Plants
Arctostaphylos morroensis,Morro manzanita,Wherever found,8,Threatened,Flowering Plants
Arenaria paludicola,Marsh Sandwort,Wherever found,8,Endangered,Flowering Plants
Astragalus applegatei,Applegate's milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus lentiginosus var. coachellae,Coachella Valley milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus lentiginosus var. piscinensis,Fish Slough milk-vetch,Wherever found,8,Threatened,Flowering Plants
Baccharis vanessae,Encinitas baccharis,Wherever found,8,Threatened,Flowering Plants
Camissonia benitensis,San Benito evening-primrose,Wherever found,8,Threatened,Flowering Plants
Castilleja affinis ssp. neglecta,Tiburon paintbrush,Wherever found,8,Endangered,Flowering Plants
Chorizanthe howellii,Howell's spineflower,Wherever found,8,Endangered,Flowering Plants
Chorizanthe pungens var. pungens,Monterey spineflower,Wherever found,8,Threatened,Flowering Plants
Enceliopsis nudicaulis var. corrugata,Ash Meadows sunray,Wherever found,8,Threatened,Flowering Plants
Eriastrum densifolium ssp. sanctorum,Santa Ana River woolly-star,Wherever found,8,Endangered,Flowering Plants
Erigeron parishii,Parish's daisy,Wherever found,8,Threatened,Flowering Plants
Eryngium constancei,Loch Lomond coyote thistle,Wherever found,8,Endangered,Flowering Plants
Erysimum menziesii,Menzies' wallflower,Wherever found,8,Endangered,Flowering Plants
Erysimum teretifolium,Ben Lomond wallflower,Wherever found,8,Endangered,Flowering Plants
Gilia tenuiflora ssp. arenaria,Monterey gilia,Wherever found,8,Endangered,Flowering Plants
Lesquerella kingii ssp. bernardina,San Bernardino Mountains bladderpod,Wherever found,8,Endangered,Flowering Plants
Lupinus tidestromii,Clover lupine,Wherever found,8,Endangered,Flowering Plants
Navarretia fossalis,Spreading navarretia,Wherever found,8,Threatened,Flowering Plants
Nitrophila mohavensis,Amargosa niterwort,Wherever found,8,Endangered,Flowering Plants
Pentachaeta bellidiflora,White-rayed pentachaeta,Wherever found,8,Endangered,Flowering Plants
Pogogyne nudiuscula,Otay mesa-mint,Wherever found,8,Endangered,Flowering Plants
Sidalcea pedata,Pedate checker-mallow,Wherever found,8,Endangered,Flowering Plants
Thelypodium stenopetalum,Slender-petaled mustard,Wherever found,8,Endangered,Flowering Plants
Thlaspi californicum,Kneeland Prairie penny-cress,Wherever found,8,Endangered,Flowering Plants
Thysanocarpus conchuliferus,Santa Cruz Island fringepod,Wherever found,8,Endangered,Flowering Plants
Verbena californica,Red Hills vervain,Wherever found,8,Threatened,Flowering Plants
Astragalus magdalenae var. peirsonii,Peirson's milk-vetch,Wherever found,8,Threatened,Flowering Plants
Clarkia springvillensis,Springville clarkia,Wherever found,8,Threatened,Flowering Plants
Cordylanthus tenuis ssp. capillaris,Pennell's bird's-beak,Wherever found,8,Endangered,Flowering Plants
Dudleya verityi,Verity's dudleya,Wherever found,8,Threatened,Flowering Plants
Fremontodendron mexicanum,Mexican flannelbush,Wherever found,8,Endangered,Flowering Plants
Howellia aquatilis,Water howellia,,6,Threatened,Flowering Plants
Dodecahema leptoceras,Slender-horned spineflower,Wherever found,8,Endangered,Flowering Plants
Eremalche kernensis,Kern mallow,Wherever found,8,Endangered,Flowering Plants
Eriophyllum latilobum,San Mateo woolly sunflower,Wherever found,8,Endangered,Flowering Plants
Allium munzii,Munz's onion,Wherever found,8,Endangered,Flowering Plants
Caulanthus californicus,California jewelflower,Wherever found,8,Endangered,Flowering Plants
Limnanthes floccosa ssp. californica,Butte County meadowfoam,Wherever found,8,Endangered,Flowering Plants
Opuntia treleasei,Bakersfield cactus,Wherever found,8,Endangered,Flowering Plants
Astragalus albens,Cushenbury milk-vetch,Wherever found,8,Endangered,Flowering Plants
Astragalus tricarinatus,Triple-ribbed milk-vetch,Wherever found,8,Endangered,Flowering Plants
Atriplex coronata var. notatior,San Jacinto Valley crownscale,Wherever found,8,Endangered,Flowering Plants
Chorizanthe pungens var. hartwegiana,Ben Lomond spineflower,Wherever found,8,Endangered,Flowering Plants
Dudleya setchellii,Santa Clara Valley dudleya,Wherever found,8,Endangered,Flowering Plants
Deinandra increscens ssp. villosa,Gaviota Tarplant,Wherever found,8,Endangered,Flowering Plants
Layia carnosa,Beach layia,Wherever found,8,Endangered,Flowering Plants
Monolopia (=Lembertia) congdonii,San Joaquin wooly-threads,Wherever found,8,Endangered,Flowering Plants
Malacothrix indecora,Santa Cruz Island malacothrix,Wherever found,8,Endangered,Flowering Plants
Oxytheca parishii var. goodmaniana,Cushenbury oxytheca,Wherever found,8,Endangered,Flowering Plants
Rorippa gambellii,Gambel's watercress,Wherever found,8,Endangered,Flowering Plants
Suaeda californica,California seablite,,8,Endangered,Flowering Plants
Ceanothus ophiochilus,Vail Lake ceanothus,Wherever found,8,Threatened,Flowering Plants
Lessingia germanorum (=L.g. var. germanorum),San Francisco lessingia,Wherever found,8,Endangered,Flowering Plants
Dudleya cymosa ssp. ovatifolia,Santa Monica Mountains dudleyea,Wherever found,8,Threatened,Flowering Plants
Malacothrix squalida,Island malacothrix,Wherever found,8,Endangered,Flowering Plants
Piperia yadonii,Yadon's piperia,Wherever found,8,Endangered,Flowering Plants
Verbesina dissita,Big-leaved crownbeard,Wherever found,8,Threatened,Flowering Plants
Cupressus abramsiana,Santa Cruz cypress,Wherever found,8,Threatened,Conifers and Cycads
Cupressus goveniana ssp. goveniana,Gowen cypress,Wherever found,8,Threatened,Conifers and Cycads
Urocyon littoralis catalinae,Santa Catalina Island Fox,Wherever found,8,Threatened,Mammals
Polygonum hickmanii,Scotts Valley Polygonum,Wherever found,8,Endangered,Flowering Plants
Chorizanthe robusta var. hartwegii,Scotts Valley spineflower,Wherever found,8,Endangered,Flowering Plants
Anaxyrus canorus,Yosemite toad,Wherever found,8,Threatened,Amphibians
Rana muscosa,Mountain yellow-legged frog,Northern California DPS,8,Endangered,Amphibians
Ivesia webberi,Webber's ivesia,Wherever found,8,Threatened,Flowering Plants
Arctostaphylos franciscana,Franciscan manzanita,Wherever found,8,Endangered,Flowering Plants
Rana pretiosa,Oregon spotted frog,Wherever found,1,Threatened,Amphibians
Ambystoma californiense,California tiger Salamander,U.S.A. (Central CA DPS),8,Threatened,Amphibians
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds
Ambystoma californiense,California tiger Salamander,U.S.A. (CA - Santa Barbara County),8,Endangered,Amphibians
Dinacoma caseyi,Casey's June Beetle,Wherever found,8,Endangered,Insects
Diplacus vandenbergensis,Vandenberg monkeyflower,Wherever found,8,Endangered,Flowering Plants
Martes caurina,"Pacific Marten, Coastal Distinct Population Segment",Wherever found,8,Threatened,Mammals
Chorizanthe robusta var. robusta,Robust spineflower,Wherever found,8,Endangered,Flowering Plants
Rana sierrae,Sierra Nevada Yellow-legged Frog,Wherever found,8,Endangered,Amphibians